Review_ID,Product,Category,Brand,Review_Text,Rating,Verified_Purchase,Review_Length
1,Smartphone,Electronics,Nike,Nike Smartphone is average product,3,Yes,5
2,Camera,Electronics,Samsung,Samsung Camera is worth the price,4,Yes,6
3,Smartwatch,Electronics,HP,HP Smartwatch is very good quality,4,No,6
4,Smartphone,Accessories,Sony,Sony Smartphone is not bad,3,No,5
5,Smartwatch,Electronics,Adidas,Adidas Smartwatch is product stopped working,1,Yes,6
6,Backpack,Electronics,Nike,Nike Backpack is waste of money,2,No,6
7,Camera,Accessories,Apple,Apple Camera is average product,3,No,5
8,Backpack,Accessories,Boat,Boat Backpack is could be better,3,Yes,6
9,Laptop,Electronics,Boat,Boat Laptop is very good quality,5,No,6
10,Headphones,Fashion,Adidas,Adidas Headphones is cheap material,2,Yes,5
11,Laptop,Accessories,Sony,Sony Laptop is not bad,3,Yes,5
12,Shoes,Accessories,Boat,Boat Shoes is great value for money,5,No,7
13,Backpack,Fashion,HP,HP Backpack is very good quality,4,Yes,6
14,Tablet,Accessories,HP,HP Tablet is awesome performance,4,No,5
15,Smartwatch,Accessories,Nike,Nike Smartwatch is loved it,4,No,5
16,Backpack,Electronics,Boat,Boat Backpack is decent performance,3,No,5
17,Headphones,Accessories,Sony,Sony Headphones is excellent product,4,No,5
18,Camera,Accessories,HP,HP Camera is average product,3,No,5
19,Smartphone,Accessories,Apple,Apple Smartphone is not bad,3,No,5
20,Laptop,Fashion,Nike,Nike Laptop is not bad,3,Yes,5
21,Headphones,Accessories,Apple,Apple Headphones is poor quality,2,No,5
22,Smartwatch,Fashion,Sony,Sony Smartwatch is could be better,3,Yes,6
23,Smartphone,Fashion,Adidas,Adidas Smartphone is could be better,3,Yes,6
24,Smartwatch,Electronics,Samsung,Samsung Smartwatch is awesome performance,5,Yes,5
25,Headphones,Accessories,Sony,Sony Headphones is great value for money,4,No,7
26,Shoes,Electronics,HP,HP Shoes is okay for the price,3,Yes,7
27,Camera,Fashion,Adidas,Adidas Camera is not bad,3,No,5
28,Laptop,Electronics,Adidas,Adidas Laptop is very good quality,4,Yes,6
29,Smartphone,Accessories,Apple,Apple Smartphone is okay for the price,3,Yes,7
30,Backpack,Accessories,Apple,Apple Backpack is worth the price,4,Yes,6
31,Headphones,Electronics,Dell,Dell Headphones is cheap material,1,No,5
32,Laptop,Fashion,HP,HP Laptop is bad experience,1,No,5
33,Laptop,Fashion,Samsung,Samsung Laptop is cheap material,1,No,5
34,Smartwatch,Electronics,Dell,Dell Smartwatch is very good quality,4,No,6
35,Smartwatch,Fashion,Apple,Apple Smartwatch is loved it,5,Yes,5
36,Smartwatch,Fashion,Sony,Sony Smartwatch is excellent product,4,No,5
37,Smartphone,Fashion,Sony,Sony Smartphone is bad experience,2,Yes,5
38,Shoes,Accessories,HP,HP Shoes is product stopped working,2,No,6
39,Smartwatch,Accessories,Samsung,Samsung Smartwatch is very good quality,5,Yes,6
40,Smartphone,Accessories,Samsung,Samsung Smartphone is not bad,3,No,5
41,Headphones,Accessories,Samsung,Samsung Headphones is could be better,3,Yes,6
42,Smartwatch,Electronics,HP,HP Smartwatch is worth the price,4,Yes,6
43,Smartphone,Fashion,Apple,Apple Smartphone is could be better,3,No,6
44,Smartwatch,Fashion,Nike,Nike Smartwatch is bad experience,2,Yes,5
45,Tablet,Electronics,Adidas,Adidas Tablet is not bad,3,Yes,5
46,Smartwatch,Electronics,Nike,Nike Smartwatch is waste of money,1,No,6
47,Shoes,Fashion,Sony,Sony Shoes is very good quality,5,No,6
48,Smartphone,Accessories,Nike,Nike Smartphone is could be better,3,Yes,6
49,Laptop,Fashion,Sony,Sony Laptop is loved it,4,No,5
50,Backpack,Accessories,Boat,Boat Backpack is okay for the price,3,No,7
51,Shoes,Electronics,Samsung,Samsung Shoes is decent performance,3,No,5
52,Backpack,Accessories,Sony,Sony Backpack is poor quality,1,No,5
53,Smartphone,Electronics,Apple,Apple Smartphone is great value for money,5,Yes,7
54,Backpack,Fashion,Sony,Sony Backpack is average product,3,Yes,5
55,Smartphone,Electronics,Adidas,Adidas Smartphone is loved it,5,Yes,5
56,Backpack,Accessories,HP,HP Backpack is average product,3,Yes,5
57,Camera,Electronics,Samsung,Samsung Camera is highly recommended,4,No,5
58,Headphones,Fashion,Apple,Apple Headphones is bad experience,2,Yes,5
59,Tablet,Fashion,Adidas,Adidas Tablet is bad experience,1,Yes,5
60,Camera,Fashion,Adidas,Adidas Camera is excellent product,4,Yes,5
61,Backpack,Electronics,Samsung,Samsung Backpack is very disappointed,2,No,5
62,Laptop,Fashion,HP,HP Laptop is loved it,4,No,5
63,Smartwatch,Electronics,Nike,Nike Smartwatch is waste of money,2,No,6
64,Camera,Accessories,Apple,Apple Camera is very good quality,5,No,6
65,Laptop,Accessories,Nike,Nike Laptop is not bad,3,No,5
66,Backpack,Accessories,HP,HP Backpack is decent performance,3,No,5
